id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
11269646;True;1;1;Россия;15.2;185;Севастополь;;;;;;;;;;;;;;
11301324;False;2;1;Россия;;59;Йошкар-Ола;;;;;;;;;;;;;;
11304744;True;2;1;Россия;20.1;185;Севастополь;;;;;;;;;;;;;;
11319240;True;2;1;Россия;24.3;185;Севастополь;;;;;;;;;;;;;;
11324195;False;1;1;Россия;25.10;;;;;;;;;;;;;;;;
11324407;False;1;1;Россия;20.8.1993;185;Севастополь;;;;;;;;;;;;;;
11340680;True;1;217;Швейцария;21.4;;;;;;;;;;;;;;;;
11375150;False;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
11381863;False;1;1;Россия;10.3;185;Севастополь;;;;;;;;;;;;;;
11403775;True;1;2;Украина;17.1.1988;185;Севастополь;;;;;;;;;;;;;;
11404744;True;1;1;Россия;4.9.1981;185;Севастополь;;;;;;;;;;;;;;
11421996;False;1;1;Россия;7.8;185;Севастополь;;;;;;;;;;;;;;
11424099;False;2;;;11.3.1991;;;2036272, 2036268;Физическая культура, Психология личности;0, 66;0, 1;;Выпускник (бакалавр), Студент (магистр);2261710, 2218304;Факультет физической культуры и спорта (Педагогический институт), Факультет педагогики и психологии (Педагогический институт);555, 555;ВятГУ (бывш. ВятГТУ, КирПИ), ВятГУ (бывш. ВятГТУ, КирПИ);;;;
11431300;False;1;1;Россия;;1;Москва;;;1;1;Очное отделение;;1086;Факультет музыкального искусства (Институт музыки);257;МГУКИ;1;1;16783;Музыкальное училище им. Гнесиных (ГМУ)
11440640;False;2;1;Россия;21.11.1980;185;Севастополь;;;;;;;;;;;;;;
11454196;True;2;;;19.8;;;;;;;;;;;;;;;;
11456140;False;2;2;Украина;8.8;314;Киев;997538;Уголовного права;314;2;Очное отделение;Выпускник (специалист);24069;Юридический;19313;ДонУЭП;223, 223;2, 2;46698, 25470;Школа № 61, Гимназия № 70
11466952;False;2;1;Россия;1.3.1986;185;Севастополь;;;;;;;;;;;;;;
11490969;False;2;2;Украина;;185;Севастополь;;;;;;;;;;;;;;
11492617;False;1;1;Россия;25.12.1986;185;Севастополь;30453;Романских языков;185;1;Очное отделение;Выпускница (специалист);22260;;13061;КНЛУ (бывш. КГПИИЯ);;;;
11509750;True;1;;;;;;;;;;;;;;;;;;;
11520653;True;2;1;Россия;26.10.1993;1;Москва;;;;;;;;;;;;;;
11559673;True;1;2;Украина;29.5;185;Севастополь;;;;;;;;;;;;;;
11565346;False;1;1;Россия;11.4.1975;;;;;;;;;;;;;;;;
11566842;;1;;;;;;;;;;;;;;;;;;;
11570095;;1;;;;;;;;;;;;;;;;;;;
11585402;False;1;2;Украина;13.2.1982;185;Севастополь;;;;;;;;;;;185, 185, 185;2, 2, 2;51049, 120287, 169310;Школа № 47, Школа № 56, Коммерческий техникум (СКТ, бывш. Торговый)
11594057;False;1;1;Россия;2.1;185;Севастополь;;;;;;;;;;;;;;
11599592;False;1;65;Германия;7.1;5264303;Karlsruhe;;;;;;;;;;;;;;
11604934;False;1;2;Украина;17.11;185;Севастополь;;;;;;;;;;;;;;
11609169;False;2;1;Россия;11.2.1991;627;Симферополь;;;;;;;;;;;;;;
11638290;False;2;2;Украина;13.5;185;Севастополь;;;;;;;;;;;;;;
11674605;False;2;1;Россия;22.9.1995;185;Севастополь;;;;;;;;;;;;;;
11677611;False;1;1;Россия;;185;Севастополь;;;185;1;Очное отделение;Выпускница (специалист);3025;Факультет психологии;696;ОмГУ им. Достоевского;;;;
11691651;True;1;1;Россия;;;;;;;;;;;;;;;;;
11694217;False;2;1;Россия;15.8;185;Севастополь;;;185;1;Очное отделение;Студент (магистр);297206;Экономика предприятия (Majandus);158261;Majanduse ja Juhtimise Instituut;185, 1803186;2, 14;74348, 202691;Школа № 35, Juuksurite Erakool Maridel
11694624;False;2;1;Россия;28.5.1974;185;Севастополь;2186869;Истории древнего мира и средних веков;185;1;Очное отделение;Кандидат наук;2265926;Таврическая академия;101759;Таврическая академия КФУ им. В. И. Вернадского (бывш. ТНУ);185;1;19346;Школа № 38
11702919;False;1;1;Россия;;185;Севастополь;51262;Кафедра общей психологии;185;1;Заочное отделение;;10123;Психолого-педагогический факультет;39866;СГГУ;185;1;84932;Лицей № 1
11707405;True;1;1;Россия;18.4;185;Севастополь;;;;;;;;;;;;;;
11711019;True;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
11721020;False;2;1;Россия;18.7.1986;185;Севастополь;97839, 2089509;Судовых и промышленных электромеханических систем (СПЭМС) , Кафедра эксплуатации судовых энергетических установок;185, 185;1, 2;Очное отделение, Заочное отделение;Выпускник (специалист), Выпускник (бакалавр);2231794, 89008;Факультет морских технологий и судоходства, Институт судовождения и судовой энергетики;1032, 20718;СевНТУ (бывш. СГТУ, СПИ), СевМА (ПУМИ);799;2;47009;Школа №7
11723617;False;1;1;Россия;15.4;;;;;0;1;;Выпускница (специалист);1079850;Экономико-технологический факультет;33640;СЭТФ ДонНУЭТ им. Туган-Барановского;185;2;27420;Школа № 22
11757759;False;2;;;;;;;;;;;;;;;;;;;
11762657;False;1;1;Россия;30.10.1991;185;Севастополь;78347;Теории и практики перевода (ТПП);185;1;Очное отделение;Выпускница (бакалавр);106939;Гуманитарно-педагогический институт;1032;СевНТУ (бывш. СГТУ, СПИ);185;2;71248;Школа № 26
11768344;;2;;;;;;;;;;;;;;;;;;;
11771261;True;1;1;Россия;17.7.1973;818;Ялта;;;;;;;;;;;;;;
11773127;False;1;;;;;;;;;;;;;;;;;;;
11781105;True;1;1;Россия;2.2;185;Севастополь;;;;;;;;;;;;;;
11791566;;1;;;;;;;;;;;;;;;;;;;
11802028;True;1;1;Россия;28.12.1992;185;Севастополь;;;;;;;;;;;;;;
11806889;False;1;2;Украина;17.2;185;Севастополь;;;;;;;;;;;;;;
11811396;False;2;2;Украина;2.4.1986;185;Севастополь;;;;;;;;;;;185;0;34020;Школа № 27
11838739;False;1;1;Россия;24.9;185;Севастополь;;;;;;;;;;;;;;
11856688;True;1;1;Россия;27.4.1978;185;Севастополь;;;;;;;;;;;;;;
11882765;False;2;1;Россия;9.7;;;;;;;;;;;;;;;;
11893578;True;1;1;Россия;27.1.1993;185;Севастополь;;;;;;;;;;;;;;
11912027;False;2;1;Россия;7.2;185;Севастополь;;;;;;;;;;;;;;
11930717;True;2;1;Россия;23.8;185;Севастополь;;;;;;;;;;;;;;
11976403;False;2;1;Россия;7.7;;;;;;;;;;;;;;;;
12025823;False;2;1;Россия;5.10.1988;185;Севастополь;;;;;;;;;;;;;;
12032799;False;1;1;Россия;16.5;627;Симферополь;;;;;;;;;;;;;;
12087362;False;1;2;Украина;22.4.1991;185;Севастополь;;;;;;;;;;;;;;
12087861;False;1;1;Россия;5.7.1989;;;;;;;;;;;;;;;;
12093284;False;1;1;Россия;5.7.1984;185;Севастополь;2102864;Технической кибернетики (ТК);185;1;Очное отделение;Выпускница (магистр);2231791;Факультет автоматики и вычислительной техники;1032;СевНТУ (бывш. СГТУ, СПИ);818;2;40962;Школа №11
12122960;;2;;;;;;;;;;;;;;;;;;;
12127313;False;2;;;29.1;;;;;;;;;;;;;;;;
12211486;False;2;2;Украина;7.12;185;Севастополь;;;;;;;;;;;;;;
12213693;False;1;1;Россия;17.12.1978;185;Севастополь;;;;;;;;;;;;;;
12217886;False;2;1;Россия;13.1.1993;1;Москва;;;;;;;;;;;;;;
12218298;False;1;1;Россия;14.8;105;Орёл;;;;;;;;;;;;;;
12223692;False;1;1;Россия;15.8;110;Пермь;;;;;;;;;;;;;;
12231880;True;2;1;Россия;;99;Новосибирск;;;;;;;;;;;;;;
12238244;False;2;1;Россия;30.9;185;Севастополь;;;;;;;;;;;;;;
12241505;True;2;1;Россия;1.11;185;Севастополь;;;;;;;;;;;;;;
12252927;False;2;1;Россия;7.5.1982;2331;Партенит;82751, 1031612;Инженер-технолог, повар;2331, 1500583;1, 2;Заочное отделение, Очное отделение;Студент (специалист);2151563, 610205;Факультет оборудования и технического сервиса (Инженерно-механический), кулинария;7440, 353310;ХГУПТ, впу21;2331, 5514, 4658, 1500583;2, 2, 1, 2;10760, 24770, 28415, 875637;Школа №1, Школа №9, Школа № 240, Высшее профессиональное училище №21
12266229;False;1;1;Россия;9.6;799;Евпатория;;;;;;;;;;;;;;
12269041;False;2;1;Россия;20.10.1987;185;Севастополь;;;;;;;;;;;;;;
12269384;True;2;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
12279954;True;2;;;;;;;;;;;;;;;;;;;
12292514;False;1;1;Россия;6.6;185;Севастополь;;;185;1;Очное отделение;Выпускница (специалист);;;410187;КГФ НПУ им. Драгоманова (бывш. ГИА);185;1;5812;Школа № 14
12297583;True;2;1;Россия;;;;;;;;;;;;;;;;;
12308016;False;2;1;Россия;29.7.1993;185;Севастополь;113745;Радиотехники (РТ);185;1;Очное отделение;;53239;Институт радиоэлектроники и информационной безопасности;1032;СевНТУ (бывш. СГТУ, СПИ);185;2;21040;Гимназия № 1 им. А. С. Пушкина
12379792;False;1;1;Россия;15.3;185;Севастополь;195156;Градостроительства (бывш. Архитектурного проектирования);185;1;;Студентка (магистр);2265908;Академия строительства и архитектуры;1191141;КФУ им. В. И. Вернадского;185;1;78272;Школа № 8 МО РФ
12387706;True;1;1;Россия;5.5;185;Севастополь;;;;;;;;;;;;;;
12418793;True;1;1;Россия;26.3.2002;185;Севастополь;;;;;;;;;;;;;;
12436662;True;1;2;Украина;;185;Севастополь;;;;;;;;;;;;;;
12447431;False;1;2;Украина;30.7.1990;185;Севастополь;;;;;;;;;;;;;;
12464664;False;2;1;Россия;4.7;1;Москва;;;;;;;;;;;;;;
12477819;True;1;1;Россия;26.12;185;Севастополь;;;;;;;;;;;;;;
